"Date_Time","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052"
2020-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 17:00:00,0.173208063105,0.177538264682625,0.181976721299691,0.186526139332183,0.272788485813066,0.359050832293949,0.445313178774832,0.456446008244203,0.467857158450308,0.479553587411566,0.491542427096855,0.503830987774276,0.516426762468633,0.529337431530349,0.542570867318607,0.556135139001573,0.570038517476612,0.584289480413528,0.598896717423866,0.613869135359462,0.629215863743449,0.644946260337035,0.661069916845461,0.677596664766597,0.694536581385762,0.711899995920406,0.729697495818416,0.747939933213877,0.766638431544223,0.785804392332829
2020-01-01 18:00:00,1.43215324905,1.46795708027625,1.50465600728316,1.54227240746523,2.25552384373574,2.96877528000625,3.68202671627675,3.77407738418367,3.86842931878826,3.96514005175797,4.06426855305192,4.16587526687821,4.27002214855017,4.37677270226392,4.48619201982052,4.59834682031603,4.71330549082394,4.83113812809453,4.9519165812969,5.07571449582932,5.20260735822505,5.33267254218068,5.46598935573519,5.60263908962857,5.74270506686929,5.88627269354102,6.03342951087954,6.18426524865153,6.33887187986782,6.49734367686452
2020-01-01 19:00:00,1.0047567297,1.0298756479425,1.05562253914106,1.08201310261959,1.58240939822298,2.08280569382637,2.58320198942976,2.64778203916551,2.71397659014464,2.78182600489826,2.85137165502072,2.92265594639623,2.99572234505614,3.07061540368254,3.14738078877461,3.22606530849397,3.30671694120632,3.38938486473648,3.47411948635489,3.56097247351376,3.64999678535161,3.7412467049854,3.83477787261003,3.93064731942528,4.02891350241091,4.12963633997119,4.23287724847047,4.33869917968223,4.44716665917428,4.55834582565364
2020-01-01 20:00:00,0.3599128584,0.36891067986,0.3781334468565,0.387586783027912,0.566833217273903,0.746079651519894,0.925326085765885,0.948459237910032,0.972170718857783,0.996474986829228,1.02138686149996,1.04692153303746,1.07309457136339,1.09992193564748,1.12741998403867,1.15560548363963,1.18449562073062,1.21410801124889,1.24446071153011,1.27557222931836,1.30746153505132,1.3401480734276,1.37365177526329,1.40799306964488,1.443192896386,1.47927271879565,1.51625453676554,1.55416090018468,1.5930149226893,1.63284029575653
2020-01-01 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
