"Date_Time","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052"
2020-01-01 00:00:00,38.76,38.41,46.06,38.32,38.32,37.37,39.86,39.83,41.45,42.88,44.54,46.28,48.1,49.64,51.22,52.84,54.52,56.24,56.94,57.65,58.35,59.06,59.77,61.17,62.61,64.09,65.59,67.14,68.74,70.36
2020-01-01 01:00:00,30.27,39.22,37.61,39.07,39.41,37.59,41.09,41.42,43.44,45.32,45.83,46.36,46.91,48.8,50.76,52.79,54.88,57.04,59.66,62.38,65.18,68.09,71.1,72.8,74.55,76.34,78.16,80.03,81.95,83.91
2020-01-01 02:00:00,30.26,39.25,35.64,38.88,39.26,37.78,40.89,41.48,43.48,45.27,45.73,46.21,46.71,48.63,50.61,52.66,54.78,56.98,59.52,62.15,64.87,67.69,70.6,72.3,74.03,75.8,77.62,79.48,81.38,83.32
2020-01-01 03:00:00,30.48,39.51,35.66,39.07,39.08,37.39,40.8,41.56,43.94,45.27,45.69,46.13,46.58,47.84,49.14,50.46,51.83,53.23,57.22,61.38,65.7,70.19,74.86,76.66,78.5,80.38,82.3,84.27,86.29,88.35
2020-01-01 04:00:00,30.3,39.08,35.25,39.21,39.16,38.04,40.64,42.41,44.27,45.31,46.05,46.84,47.65,49.09,50.58,52.12,53.69,55.32,58.99,62.81,66.78,70.9,75.18,76.99,78.83,80.72,82.66,84.63,86.66,88.73
2020-01-01 05:00:00,31.03,39.44,37.39,39.27,39.13,37.44,40.43,42.65,44.13,45.27,46.29,47.36,48.48,50.5,52.6,54.77,57.02,59.34,61.63,64,66.45,68.98,71.59,73.31,75.06,76.86,78.7,80.59,82.51,84.49
2020-01-01 06:00:00,51.76,40.99,46.96,40.57,39.17,36.45,40.6,42.34,43.68,45.49,48.27,51.19,54.24,55.51,56.81,58.14,59.5,60.9,61.98,63.08,64.2,65.33,66.48,68.08,69.71,71.38,73.09,74.84,76.63,78.46
2020-01-01 07:00:00,49.38,53.39,46.33,44.19,46.55,36.68,40.49,43.16,44.37,45.49,48.01,50.67,53.43,54.02,54.61,55.19,55.77,56.34,58.04,59.79,61.59,63.43,65.33,66.9,68.51,70.15,71.83,73.54,75.3,77.1
2020-01-01 08:00:00,43.8,53.62,41.32,46.66,46.28,36.05,40.02,42.56,44.32,45.72,47.57,49.51,51.54,52.55,53.59,54.64,55.71,56.8,58.81,60.88,63.02,65.23,67.5,69.12,70.78,72.47,74.21,75.98,77.8,79.66
2020-01-01 09:00:00,38.81,52.27,40.07,42.52,43.64,36.72,40.04,40.34,43.82,45.3,47.23,49.26,51.37,52.38,53.4,54.45,55.51,56.59,58.52,60.51,62.56,64.68,66.85,68.46,70.1,71.78,73.5,75.26,77.06,78.9
