ZIP,CITY,County,CZ
94002,BELMONT,SAN MATEO,3A
94003,BELMONT,SAN MATEO,3A
94005,BRISBANE,SAN MATEO,3A
94010,BURLINGAME,SAN MATEO,3A
94011,BURLINGAME,SAN MATEO,3A
94012,BURLINGAME,SAN MATEO,3A
94014,DALY CITY,SAN MATEO,3A
94015,DALY CITY,SAN MATEO,3A
94016,DALY CITY,SAN MATEO,3A
94017,DALY CITY,SAN MATEO,3A
94018,EL GRANADA,SAN MATEO,3A
94019,HALF MOON BAY,SAN MATEO,3A
94020,LA HONDA,SAN MATEO,3A
94021,LOMA MAR,SAN MATEO,3A
94025,MENLO PARK,SAN MATEO,3A
94026,MENLO PARK,SAN MATEO,3A
94027,ATHERTON,SAN MATEO,3A
94028,PORTOLA VALLEY,SAN MATEO,3A
94029,MENLO PARK,SAN MATEO,3A
94030,MILLBRAE,SAN MATEO,3A
94031,MILLBRAE,SAN MATEO,3A
94037,MONTARA,SAN MATEO,3A
94038,MOSS BEACH,SAN MATEO,3A
94044,PACIFICA,SAN MATEO,3A
94045,PACIFICA,SAN MATEO,3A
94059,REDWOOD CITY,SAN MATEO,3A
94060,PESCADERO,SAN MATEO,3A
94061,REDWOOD CITY,SAN MATEO,3A
94062,REDWOOD CITY,SAN MATEO,3A
94063,REDWOOD CITY,SAN MATEO,3A
94064,REDWOOD CITY,SAN MATEO,3A
94065,REDWOOD CITY,SAN MATEO,3A
94066,SAN BRUNO,SAN MATEO,3A
94067,SAN BRUNO,SAN MATEO,3A
94070,SAN CARLOS,SAN MATEO,3A
94071,SAN CARLOS,SAN MATEO,3A
94074,SAN GREGORIO,SAN MATEO,3A
94080,SOUTH SAN FRANCIS,SAN MATEO,3A
94083,SOUTH SAN FRANCIS,SAN MATEO,3A
94096,SAN BRUNO,SAN MATEO,3A
94098,SAN BRUNO,SAN MATEO,3A
94099,SOUTH SAN FRANCIS,SAN MATEO,3A
94101,SAN FRANCISCO,SAN FRANCISCO,3A
94102,SAN FRANCISCO,SAN FRANCISCO,3A
94103,SAN FRANCISCO,SAN FRANCISCO,3A
94104,SAN FRANCISCO,SAN FRANCISCO,3A
94105,SAN FRANCISCO,SAN FRANCISCO,3A
94106,SAN FRANCISCO,SAN FRANCISCO,3A
94107,SAN FRANCISCO,SAN FRANCISCO,3A
94108,SAN FRANCISCO,SAN FRANCISCO,3A
94109,SAN FRANCISCO,SAN FRANCISCO,3A
94110,SAN FRANCISCO,SAN FRANCISCO,3A
94111,SAN FRANCISCO,SAN FRANCISCO,3A
94112,SAN FRANCISCO,SAN FRANCISCO,3A
94114,SAN FRANCISCO,SAN FRANCISCO,3A
94115,SAN FRANCISCO,SAN FRANCISCO,3A
94116,SAN FRANCISCO,SAN FRANCISCO,3A
94117,SAN FRANCISCO,SAN FRANCISCO,3A
94118,SAN FRANCISCO,SAN FRANCISCO,3A
94119,SAN FRANCISCO,SAN FRANCISCO,3A
94120,SAN FRANCISCO,SAN FRANCISCO,3A
94121,SAN FRANCISCO,SAN FRANCISCO,3A
94122,SAN FRANCISCO,SAN FRANCISCO,3A
94123,SAN FRANCISCO,SAN FRANCISCO,3A
94124,SAN FRANCISCO,SAN FRANCISCO,3A
94125,SAN FRANCISCO,SAN FRANCISCO,3A
94126,SAN FRANCISCO,SAN FRANCISCO,3A
94127,SAN FRANCISCO,SAN FRANCISCO,3A
94128,SAN FRANCISCO,SAN MATEO,3A
94129,SAN FRANCISCO,SAN FRANCISCO,3A
94130,SAN FRANCISCO,SAN FRANCISCO,3A
94131,SAN FRANCISCO,SAN FRANCISCO,3A
94132,SAN FRANCISCO,SAN FRANCISCO,3A
94133,SAN FRANCISCO,SAN FRANCISCO,3A
