Rate Vintage,Delivery Utility,Generation Supplier,Rate Schedule,Charge Name,Charge Type,Charge Period,Rate Season,Day Type,From Hour,To Hour,Delivery Rate,Generation Rate,Total Rate
2025-09-01,PG&E,PG&E,E-ELEC,Base Services Charge,FIXED,DAILY,,,,,0.49281,0,0.49281
2025-09-01,PG&E,PG&E,E-ELEC,Summer Peak,CONSUMPTION,MONTHLY,Summer,,16,21,0.31098,0.29332,0.6043
2025-09-01,PG&E,PG&E,E-ELEC,Summer Part-Peak,CONSUMPTION,MONTHLY,Summer,,15,16,0.24821,0.19421,0.44242
2025-09-01,PG&E,PG&E,E-ELEC,Summer Part-Peak,CONSUMPTION,MONTHLY,Summer,,21,24,0.24821,0.19421,0.44242
2025-09-01,PG&E,PG&E,E-ELEC,Summer Off-Peak,CONSUMPTION,MONTHLY,Summer,,0,15,0.23663,0.14911,0.38574
2025-09-01,PG&E,PG&E,E-ELEC,Winter Peak,CONSUMPTION,MONTHLY,Winter,,16,21,0.2416,0.13119,0.37279
2025-09-01,PG&E,PG&E,E-ELEC,Winter Part-Peak,CONSUMPTION,MONTHLY,Winter,,15,16,0.23948,0.11122,0.3507
2025-09-01,PG&E,PG&E,E-ELEC,Winter Part-Peak,CONSUMPTION,MONTHLY,Winter,,21,24,0.23948,0.11122,0.3507
2025-09-01,PG&E,PG&E,E-ELEC,Winter Off-Peak,CONSUMPTION,MONTHLY,Winter,,0,15,0.23897,0.09787,0.33684
2025-09-01,PG&E,Ava,E-ELEC Bright Choice,Base Services Charge,FIXED,DAILY,,,,,0.49281,0,0.49281
2025-09-01,PG&E,Ava,E-ELEC Bright Choice,Summer Peak,CONSUMPTION,MONTHLY,Summer,,16,21,0.31098,0.27865,0.58963
2025-09-01,PG&E,Ava,E-ELEC Bright Choice,Summer Part-Peak,CONSUMPTION,MONTHLY,Summer,,15,16,0.24821,0.1845,0.43271
2025-09-01,PG&E,Ava,E-ELEC Bright Choice,Summer Part-Peak,CONSUMPTION,MONTHLY,Summer,,21,24,0.24821,0.1845,0.43271
2025-09-01,PG&E,Ava,E-ELEC Bright Choice,Summer Off-Peak,CONSUMPTION,MONTHLY,Summer,,0,15,0.23663,0.14165,0.37828
2025-09-01,PG&E,Ava,E-ELEC Bright Choice,Winter Peak,CONSUMPTION,MONTHLY,Winter,,16,21,0.2416,0.12463,0.36623
2025-09-01,PG&E,Ava,E-ELEC Bright Choice,Winter Part-Peak,CONSUMPTION,MONTHLY,Winter,,15,16,0.23948,0.10566,0.34514
2025-09-01,PG&E,Ava,E-ELEC Bright Choice,Winter Part-Peak,CONSUMPTION,MONTHLY,Winter,,21,24,0.23948,0.10566,0.34514
2025-09-01,PG&E,Ava,E-ELEC Bright Choice,Winter Off-Peak,CONSUMPTION,MONTHLY,Winter,,0,15,0.23897,0.09298,0.33195
2025-09-01,PG&E,Ava,E-ELEC Renewable 100,Base Services Charge,FIXED,DAILY,,,,,0.49281,0,0.49281
2025-09-01,PG&E,Ava,E-ELEC Renewable 100,Summer Peak,CONSUMPTION,MONTHLY,Summer,,16,21,0.32086,0.29582,0.61668
2025-09-01,PG&E,Ava,E-ELEC Renewable 100,Summer Part-Peak,CONSUMPTION,MONTHLY,Summer,,15,16,0.25809,0.19671,0.4548
2025-09-01,PG&E,Ava,E-ELEC Renewable 100,Summer Part-Peak,CONSUMPTION,MONTHLY,Summer,,21,24,0.25809,0.19671,0.4548
